WARNING: naive/sim/testbench.v:55: $readmemh(naive/sim/inst_rom.data): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile naive_cpu.vcd opened for output.
Time:              1535000, PC: 00000022, Inst: 800002b7, x1:        241, x2:         32, x3:        101
Time:              1545000, PC: 00000014, Inst: 00000013, x1:        273, x2:         32, x3:        101
Time:              1555000, PC: 00000018, Inst: 00110113, x1:        273, x2:         33, x3:        101
Time:              1565000, PC: 0000001c, Inst: ffbff06f, x1:        273, x2:         33, x3:        101
Time:              1575000, PC: 00000020, Inst: 800002b7, x1:        273, x2:         33, x3:        101
Time:              1585000, PC: 00000012, Inst: 00000013, x1:        273, x2:         33, x3:        101
Time:              1595000, PC: 00000016, Inst: 002080b3, x1:        273, x2:         34, x3:        101
Time:              1605000, PC: 0000001a, Inst: 00110113, x1:        273, x2:         34, x3:        101
Time:              1615000, PC: 0000001e, Inst: ffbff06f, x1:        273, x2:         34, x3:        101
Time:              1625000, PC: 00000022, Inst: 800002b7, x1:        273, x2:         34, x3:        101
Time:              1635000, PC: 00000014, Inst: 00000013, x1:        307, x2:         34, x3:        101
Time:              1645000, PC: 00000018, Inst: 00110113, x1:        307, x2:         35, x3:        101
Time:              1655000, PC: 0000001c, Inst: ffbff06f, x1:        307, x2:         35, x3:        101
Time:              1665000, PC: 00000020, Inst: 800002b7, x1:        307, x2:         35, x3:        101
Time:              1675000, PC: 00000012, Inst: 00000013, x1:        307, x2:         35, x3:        101
Time:              1685000, PC: 00000016, Inst: 002080b3, x1:        307, x2:         36, x3:        101
Time:              1695000, PC: 0000001a, Inst: 00110113, x1:        307, x2:         36, x3:        101
Time:              1705000, PC: 0000001e, Inst: ffbff06f, x1:        307, x2:         36, x3:        101
Time:              1715000, PC: 00000022, Inst: 800002b7, x1:        307, x2:         36, x3:        101
Time:              1725000, PC: 00000014, Inst: 00000013, x1:        343, x2:         36, x3:        101
Time:              1735000, PC: 00000018, Inst: 00110113, x1:        343, x2:         37, x3:        101
Time:              1745000, PC: 0000001c, Inst: ffbff06f, x1:        343, x2:         37, x3:        101
Time:              1755000, PC: 00000020, Inst: 800002b7, x1:        343, x2:         37, x3:        101
Time:              1765000, PC: 00000012, Inst: 00000013, x1:        343, x2:         37, x3:        101
Time:              1775000, PC: 00000016, Inst: 002080b3, x1:        343, x2:         38, x3:        101
Time:              1785000, PC: 0000001a, Inst: 00110113, x1:        343, x2:         38, x3:        101
Time:              1795000, PC: 0000001e, Inst: ffbff06f, x1:        343, x2:         38, x3:        101
Time:              1805000, PC: 00000022, Inst: 800002b7, x1:        343, x2:         38, x3:        101
Time:              1815000, PC: 00000014, Inst: 00000013, x1:        381, x2:         38, x3:        101
Time:              1825000, PC: 00000018, Inst: 00110113, x1:        381, x2:         39, x3:        101
Time:              1835000, PC: 0000001c, Inst: ffbff06f, x1:        381, x2:         39, x3:        101
Time:              1845000, PC: 00000020, Inst: 800002b7, x1:        381, x2:         39, x3:        101
Time:              1855000, PC: 00000012, Inst: 00000013, x1:        381, x2:         39, x3:        101
Time:              1865000, PC: 00000016, Inst: 002080b3, x1:        381, x2:         40, x3:        101
Time:              1875000, PC: 0000001a, Inst: 00110113, x1:        381, x2:         40, x3:        101
Time:              1885000, PC: 0000001e, Inst: ffbff06f, x1:        381, x2:         40, x3:        101
Time:              1895000, PC: 00000022, Inst: 800002b7, x1:        381, x2:         40, x3:        101
Time:              1905000, PC: 00000014, Inst: 00000013, x1:        421, x2:         40, x3:        101
Time:              1915000, PC: 00000018, Inst: 00110113, x1:        421, x2:         41, x3:        101
Time:              1925000, PC: 0000001c, Inst: ffbff06f, x1:        421, x2:         41, x3:        101
Time:              1935000, PC: 00000020, Inst: 800002b7, x1:        421, x2:         41, x3:        101
Time:              1945000, PC: 00000012, Inst: 00000013, x1:        421, x2:         41, x3:        101
Time:              1955000, PC: 00000016, Inst: 002080b3, x1:        421, x2:         42, x3:        101
Time:              1965000, PC: 0000001a, Inst: 00110113, x1:        421, x2:         42, x3:        101
Time:              1975000, PC: 0000001e, Inst: ffbff06f, x1:        421, x2:         42, x3:        101
Time:              1985000, PC: 00000022, Inst: 800002b7, x1:        421, x2:         42, x3:        101
Time:              1995000, PC: 00000014, Inst: 00000013, x1:        463, x2:         42, x3:        101
Time:              2005000, PC: 00000018, Inst: 00110113, x1:        463, x2:         43, x3:        101
Time:              2015000, PC: 0000001c, Inst: ffbff06f, x1:        463, x2:         43, x3:        101
Time:              2025000, PC: 00000020, Inst: 800002b7, x1:        463, x2:         43, x3:        101
Time:              2035000, PC: 00000012, Inst: 00000013, x1:        463, x2:         43, x3:        101
Time:              2045000, PC: 00000016, Inst: 002080b3, x1:        463, x2:         44, x3:        101
Time:              2055000, PC: 0000001a, Inst: 00110113, x1:        463, x2:         44, x3:        101
Time:              2065000, PC: 0000001e, Inst: ffbff06f, x1:        463, x2:         44, x3:        101
Time:              2075000, PC: 00000022, Inst: 800002b7, x1:        463, x2:         44, x3:        101
Time:              2085000, PC: 00000014, Inst: 00000013, x1:        507, x2:         44, x3:        101
Time:              2095000, PC: 00000018, Inst: 00110113, x1:        507, x2:         45, x3:        101
Time:              2105000, PC: 0000001c, Inst: ffbff06f, x1:        507, x2:         45, x3:        101
Time:              2115000, PC: 00000020, Inst: 800002b7, x1:        507, x2:         45, x3:        101
Time:              2125000, PC: 00000012, Inst: 00000013, x1:        507, x2:         45, x3:        101
Time:              2135000, PC: 00000016, Inst: 002080b3, x1:        507, x2:         46, x3:        101
Time:              2145000, PC: 0000001a, Inst: 00110113, x1:        507, x2:         46, x3:        101
Time:              2155000, PC: 0000001e, Inst: ffbff06f, x1:        507, x2:         46, x3:        101
Time:              2165000, PC: 00000022, Inst: 800002b7, x1:        507, x2:         46, x3:        101
Time:              2175000, PC: 00000014, Inst: 00000013, x1:        553, x2:         46, x3:        101
Time:              2185000, PC: 00000018, Inst: 00110113, x1:        553, x2:         47, x3:        101
Time:              2195000, PC: 0000001c, Inst: ffbff06f, x1:        553, x2:         47, x3:        101
Time:              2205000, PC: 00000020, Inst: 800002b7, x1:        553, x2:         47, x3:        101
Time:              2215000, PC: 00000012, Inst: 00000013, x1:        553, x2:         47, x3:        101
Time:              2225000, PC: 00000016, Inst: 002080b3, x1:        553, x2:         48, x3:        101
Time:              2235000, PC: 0000001a, Inst: 00110113, x1:        553, x2:         48, x3:        101
Time:              2245000, PC: 0000001e, Inst: ffbff06f, x1:        553, x2:         48, x3:        101
Time:              2255000, PC: 00000022, Inst: 800002b7, x1:        553, x2:         48, x3:        101
Time:              2265000, PC: 00000014, Inst: 00000013, x1:        601, x2:         48, x3:        101
Time:              2275000, PC: 00000018, Inst: 00110113, x1:        601, x2:         49, x3:        101
Time:              2285000, PC: 0000001c, Inst: ffbff06f, x1:        601, x2:         49, x3:        101
Time:              2295000, PC: 00000020, Inst: 800002b7, x1:        601, x2:         49, x3:        101
Time:              2305000, PC: 00000012, Inst: 00000013, x1:        601, x2:         49, x3:        101
Time:              2315000, PC: 00000016, Inst: 002080b3, x1:        601, x2:         50, x3:        101
Time:              2325000, PC: 0000001a, Inst: 00110113, x1:        601, x2:         50, x3:        101
Time:              2335000, PC: 0000001e, Inst: ffbff06f, x1:        601, x2:         50, x3:        101
Time:              2345000, PC: 00000022, Inst: 800002b7, x1:        601, x2:         50, x3:        101
Time:              2355000, PC: 00000014, Inst: 00000013, x1:        651, x2:         50, x3:        101
Time:              2365000, PC: 00000018, Inst: 00110113, x1:        651, x2:         51, x3:        101
Time:              2375000, PC: 0000001c, Inst: ffbff06f, x1:        651, x2:         51, x3:        101
Time:              2385000, PC: 00000020, Inst: 800002b7, x1:        651, x2:         51, x3:        101
Time:              2395000, PC: 00000012, Inst: 00000013, x1:        651, x2:         51, x3:        101
Time:              2405000, PC: 00000016, Inst: 002080b3, x1:        651, x2:         52, x3:        101
Time:              2415000, PC: 0000001a, Inst: 00110113, x1:        651, x2:         52, x3:        101
Time:              2425000, PC: 0000001e, Inst: ffbff06f, x1:        651, x2:         52, x3:        101
Time:              2435000, PC: 00000022, Inst: 800002b7, x1:        651, x2:         52, x3:        101
Time:              2445000, PC: 00000014, Inst: 00000013, x1:        703, x2:         52, x3:        101
Time:              2455000, PC: 00000018, Inst: 00110113, x1:        703, x2:         53, x3:        101
Time:              2465000, PC: 0000001c, Inst: ffbff06f, x1:        703, x2:         53, x3:        101
Time:              2475000, PC: 00000020, Inst: 800002b7, x1:        703, x2:         53, x3:        101
Time:              2485000, PC: 00000012, Inst: 00000013, x1:        703, x2:         53, x3:        101
Time:              2495000, PC: 00000016, Inst: 002080b3, x1:        703, x2:         54, x3:        101
Time:              2505000, PC: 0000001a, Inst: 00110113, x1:        703, x2:         54, x3:        101
Time:              2515000, PC: 0000001e, Inst: ffbff06f, x1:        703, x2:         54, x3:        101
Time:              2525000, PC: 00000022, Inst: 800002b7, x1:        703, x2:         54, x3:        101
Time:              2535000, PC: 00000014, Inst: 00000013, x1:        757, x2:         54, x3:        101
Time:              2545000, PC: 00000018, Inst: 00110113, x1:        757, x2:         55, x3:        101
Time:              2555000, PC: 0000001c, Inst: ffbff06f, x1:        757, x2:         55, x3:        101
Time:              2565000, PC: 00000020, Inst: 800002b7, x1:        757, x2:         55, x3:        101
Time:              2575000, PC: 00000012, Inst: 00000013, x1:        757, x2:         55, x3:        101
Time:              2585000, PC: 00000016, Inst: 002080b3, x1:        757, x2:         56, x3:        101
Time:              2595000, PC: 0000001a, Inst: 00110113, x1:        757, x2:         56, x3:        101
Time:              2605000, PC: 0000001e, Inst: ffbff06f, x1:        757, x2:         56, x3:        101
Time:              2615000, PC: 00000022, Inst: 800002b7, x1:        757, x2:         56, x3:        101
Time:              2625000, PC: 00000014, Inst: 00000013, x1:        813, x2:         56, x3:        101
Time:              2635000, PC: 00000018, Inst: 00110113, x1:        813, x2:         57, x3:        101
Time:              2645000, PC: 0000001c, Inst: ffbff06f, x1:        813, x2:         57, x3:        101
Time:              2655000, PC: 00000020, Inst: 800002b7, x1:        813, x2:         57, x3:        101
Time:              2665000, PC: 00000012, Inst: 00000013, x1:        813, x2:         57, x3:        101
Time:              2675000, PC: 00000016, Inst: 002080b3, x1:        813, x2:         58, x3:        101
Time:              2685000, PC: 0000001a, Inst: 00110113, x1:        813, x2:         58, x3:        101
Time:              2695000, PC: 0000001e, Inst: ffbff06f, x1:        813, x2:         58, x3:        101
Time:              2705000, PC: 00000022, Inst: 800002b7, x1:        813, x2:         58, x3:        101
Time:              2715000, PC: 00000014, Inst: 00000013, x1:        871, x2:         58, x3:        101
Time:              2725000, PC: 00000018, Inst: 00110113, x1:        871, x2:         59, x3:        101
Time:              2735000, PC: 0000001c, Inst: ffbff06f, x1:        871, x2:         59, x3:        101
Time:              2745000, PC: 00000020, Inst: 800002b7, x1:        871, x2:         59, x3:        101
Time:              2755000, PC: 00000012, Inst: 00000013, x1:        871, x2:         59, x3:        101
Time:              2765000, PC: 00000016, Inst: 002080b3, x1:        871, x2:         60, x3:        101
Time:              2775000, PC: 0000001a, Inst: 00110113, x1:        871, x2:         60, x3:        101
Time:              2785000, PC: 0000001e, Inst: ffbff06f, x1:        871, x2:         60, x3:        101
Time:              2795000, PC: 00000022, Inst: 800002b7, x1:        871, x2:         60, x3:        101
Time:              2805000, PC: 00000014, Inst: 00000013, x1:        931, x2:         60, x3:        101
Time:              2815000, PC: 00000018, Inst: 00110113, x1:        931, x2:         61, x3:        101
Time:              2825000, PC: 0000001c, Inst: ffbff06f, x1:        931, x2:         61, x3:        101
Time:              2835000, PC: 00000020, Inst: 800002b7, x1:        931, x2:         61, x3:        101
Time:              2845000, PC: 00000012, Inst: 00000013, x1:        931, x2:         61, x3:        101
Time:              2855000, PC: 00000016, Inst: 002080b3, x1:        931, x2:         62, x3:        101
Time:              2865000, PC: 0000001a, Inst: 00110113, x1:        931, x2:         62, x3:        101
Time:              2875000, PC: 0000001e, Inst: ffbff06f, x1:        931, x2:         62, x3:        101
Time:              2885000, PC: 00000022, Inst: 800002b7, x1:        931, x2:         62, x3:        101
Time:              2895000, PC: 00000014, Inst: 00000013, x1:        993, x2:         62, x3:        101
Time:              2905000, PC: 00000018, Inst: 00110113, x1:        993, x2:         63, x3:        101
Time:              2915000, PC: 0000001c, Inst: ffbff06f, x1:        993, x2:         63, x3:        101
Time:              2925000, PC: 00000020, Inst: 800002b7, x1:        993, x2:         63, x3:        101
Time:              2935000, PC: 00000012, Inst: 00000013, x1:        993, x2:         63, x3:        101
Time:              2945000, PC: 00000016, Inst: 002080b3, x1:        993, x2:         64, x3:        101
Time:              2955000, PC: 0000001a, Inst: 00110113, x1:        993, x2:         64, x3:        101
Time:              2965000, PC: 0000001e, Inst: ffbff06f, x1:        993, x2:         64, x3:        101
Time:              2975000, PC: 00000022, Inst: 800002b7, x1:        993, x2:         64, x3:        101
Time:              2985000, PC: 00000014, Inst: 00000013, x1:       1057, x2:         64, x3:        101
Time:              2995000, PC: 00000018, Inst: 00110113, x1:       1057, x2:         65, x3:        101
Time:              3005000, PC: 0000001c, Inst: ffbff06f, x1:       1057, x2:         65, x3:        101
Time:              3015000, PC: 00000020, Inst: 800002b7, x1:       1057, x2:         65, x3:        101
Time:              3025000, PC: 00000012, Inst: 00000013, x1:       1057, x2:         65, x3:        101
Time:              3035000, PC: 00000016, Inst: 002080b3, x1:       1057, x2:         66, x3:        101
Time:              3045000, PC: 0000001a, Inst: 00110113, x1:       1057, x2:         66, x3:        101
Time:              3055000, PC: 0000001e, Inst: ffbff06f, x1:       1057, x2:         66, x3:        101
Time:              3065000, PC: 00000022, Inst: 800002b7, x1:       1057, x2:         66, x3:        101
Time:              3075000, PC: 00000014, Inst: 00000013, x1:       1123, x2:         66, x3:        101
Time:              3085000, PC: 00000018, Inst: 00110113, x1:       1123, x2:         67, x3:        101
Time:              3095000, PC: 0000001c, Inst: ffbff06f, x1:       1123, x2:         67, x3:        101
Time:              3105000, PC: 00000020, Inst: 800002b7, x1:       1123, x2:         67, x3:        101
Time:              3115000, PC: 00000012, Inst: 00000013, x1:       1123, x2:         67, x3:        101
Time:              3125000, PC: 00000016, Inst: 002080b3, x1:       1123, x2:         68, x3:        101
